@relation TempFiles/temp1.csv

@attribute ID numeric
@attribute Tweet string
@attribute classlabel {opinion,call_for_action,emotional_feeling,fact_reporting,evidential_images_and_videos,harmful_action,metaphor,query}

@data
4.1817117843641958E17,'rt black wom talk rap whit men ppl seem think just hold pain slavery',opinion
4.1817286595590963E17,'kansa city hottest club horr rap jok _url_',opinion
4.1818221687184179E17,'downplay situ re slut sham endors sex assault',opinion
4.1821177101118669E17,'rap est comendo viv',opinion
4.1826487850408346E17,'keep thego stop rap tonight',call_for_action
4.1826543029415526E17,'omgg know bitch aint rap maggy walkingdead',metaphor
4.1828027654487245E17,'bad rap',emotional_feeling
4.1828197210103808E17,'fil complaint twit bm post photo incapacit bw threat rap now gonn contact buddy sourc',fact_reporting
4.1828236977559142E17,'keep thego stop rap tonight _url_',call_for_action
4.1828863803250688E17,'don rap trav pleas ll cry',emotional_feeling
4.1829291739698381E17,'cavem first inv rap hot head bitch wak pregn fuck',metaphor
4.1831087265874739E17,'hahahah kony wel mah rap ka sakn buka',opinion
4.1831830790144819E17,'end rap now',opinion
4.1836063143612416E17,'follow wil rap',metaphor
4.1836877487867494E17,'lik phon rap',metaphor
4.183990640156631E17,'holdap na gwapo girl rap rap rap holdap anong rap holdap lang girl bakit masam bang mag suggest ang land',metaphor
4.1840122232939315E17,'rt not job coddl educ young black men com viol wom wann teach',opinion
4.1840871781487411E17,'many wom believ must beat partn hetero homo rel alik',opinion
4.1841001360734618E17,'rt sex assault not sex desir viol control humy',emotional_feeling
4.184217073474601E17,'sery sex attack edinburgh year old wom victim sery sex assault edin',fact_reporting
4.1844177158498714E17,'cha seung won son cha no ah acquit sex assault charg _url_',fact_reporting
4.1844371239013171E17,'cha seung won son cha no ah acquit sex assault charg back august pro gam cha _url_',fact_reporting
4.184450751702016E17,'rt wom nee protect men urg rap men nee protect urg kil th',opinion
4.1844725775599616E17,'welcom diehardforgirl fierc book fierc wom men attack kindl _url_',opinion
4.1844844052417331E17,'rap disgust crim',emotional_feeling
4.1846237297485414E17,'don agr fan giv play shit re least week can rap much money safc',metaphor
4.1846383303264666E17,'pol investig ga man tweet going rap pass girl _url_',fact_reporting
4.1846501798262374E17,'rt estoy pensando de hac algo del estilo si consigo lik en un dejo que rap pero no tengo pelot',opinion
4.1846704801277542E17,'real dud think wit lik rap ath on black guy pick girl flo drag',harmful_action
4.1847040535638835E17,'rt rap dumb rap innoc person hoe fuck fre',metaphor
4.1847926236289434E17,'whit chick com bang door no sho no pant talk can let black dud tryn rap',fact_reporting
4.1848122011303526E17,'carl stop pleas eastend omg no rap',metaphor
4.1851376255592038E17,'_url_ avery import blog rap stop min skirt blam',opinion
4.1851396594191974E17,'mal duck rap fem duck help',opinion
4.1851954549071872E17,'devil rap dat fool dat brought world aint cheap bloody hoe smh wast tweet fuck ment freak',metaphor
4.1852389833480602E17,'talk rap lead first point abstin key',opinion
4.1852486765105971E17,'cob co pd investig man tweet pict morn say going rap girl http',fact_reporting
4.1852734160254566E17,'rt yard penal unnecess rap _url_',metaphor
4.1853515004604826E17,rap,opinion
4.185423581042647E17,'girl mmmm show gonn beat pu baby _url_',fact_reporting
