@relation TempFiles/temp1_labeled.csv
@attribute ID numeric
@attribute Tweet string
@attribute classlabel {opinion,call_for_action,emotional_feeling,fact_reporting,evidential_images_and_videos,harmful_action,metaphor,query} 

@data
"418171178436419584","rt black wom talk rap whit men ppl seem think just hold pain slavery","opinion"
"418172865955909632","kansa city hottest club horr rap jok _url_","opinion"
"418264878504083456","keep thego stop rap tonight","call_for_action"
"418265430294155264","omgg know bitch aint rap maggy walkingdead","metaphor"
"418280276544872448","bad rap","emotional_feeling"
"418281972101038080","fil complaint twit bm post photo incapacit bw threat rap now gonn contact buddy sourc","fact_reporting"
"418282369775591424","keep thego stop rap tonight _url_","call_for_action"
"418288638032506880","don rap trav pleas ll cry","emotional_feeling"
"418292917396983808","cavem first inv rap hot head bitch wak pregn fuck","metaphor"
"418360631436124160","follow wil rap","metaphor"
"418368774878674944","lik phon rap","metaphor"
"418401222329393152","rt not job coddl educ young black men com viol wom wann teach","opinion"
"418408717814874112","many wom believ must beat partn hetero homo rel alik","opinion"
"418410013607346176","rt sex assault not sex desir viol control humy","emotional_feeling"
"418421707347460097","sery sex attack edinburgh year old wom victim sery sex assault edin","fact_reporting"
"418441771584987136","cha seung won son cha no ah acquit sex assault charg _url_","fact_reporting"
"418443712390131712","cha seung won son cha no ah acquit sex assault charg back august pro gam cha _url_","fact_reporting"
"418445075170201600","rt wom nee protect men urg rap men nee protect urg kil th","opinion"
"418447257755996161","welcom diehardforgirl fierc book fierc wom men attack kindl _url_","opinion"
"418448440524173312","rap disgust crim","emotional_feeling"
"418462372974854144","don agr fan giv play shit re least week can rap much money safc","metaphor"
"418463833032646656","pol investig ga man tweet going rap pass girl _url_","fact_reporting"
"418467048012775424","real dud think wit lik rap ath on black guy pick girl flo drag","harmful_action"
"418470405356388352","rt rap dumb rap innoc person hoe fuck fre","metaphor"
"418479262362894336","whit chick com bang door no sho no pant talk can let black dud tryn rap","fact_reporting"
"418481220113035264","carl stop pleas eastend omg no rap","metaphor"
"418513762555920385","_url_ avery import blog rap stop min skirt blam","opinion"
"418523898334806016","talk rap lead first point abstin key","opinion"
"418524867651059712","cob co pd investig man tweet pict morn say going rap girl http","fact_reporting"
"418527341602545664","rt yard penal unnecess rap _url_","metaphor"
"418544729568325634","tl us rais aw eveslaw evesmark domesticviol osc childabus rap stalk abus not","opinion"
"418547569887694848","pizz won ev cal nam che beat lie fak rap girl dat","opinion"
"418553383474450432","peopl fuck idiot rap alway rap fault someon","opinion"
"418555527954989057","baltim city pol nee help loc sex assault suspect _url_ _url_","fact_reporting"
"418594266647392256","m rap","query"
"418609269429125120","good see bal report imply viol men wom","opinion"
"418610224208285697","world com re dat year old rap whol level re dat child","metaphor"
"418665850481434624","congress support aap delh saf mla not arrest fals wom not arrest rap http","opinion"
"418668953893105664","hi terr decid includ rap charg avoid jul assang today jok","opinion"
"418678847169511424","rap can nev blam victim wis man build glass hous near ston quarry","opinion"
"418712592144924672","not giv man accus rap airtim nor extrem unless real new sham bbc","emotional_feeling"
"418718114743074816","rt rap dumbest crim ev rap innoc person many hoe day","opinion"
"419234985011597312","dud rap drunk fee cat food tel snack mix gon learn today","harmful_action"
"419268988120887297","rt facebookproblemsnight lik respect justin bieb ign want sat rap","metaphor"
"419274196229697536","sex assault milit control rul suicid out _url_ htt","opinion"
"419283441893396480","rt campaign s cit victim predomin found sex traffick und victim oft runaway troubl hom","opinion"
"419293908712316928","rt first girl attack movy jaw screaming real pain har brok hip drag","metaphor"
"419300092575617025","mom got rap girl can rap wil lik man dream","metaphor"
"419303226971009024","rt rap dumbest crim ev rap innoc person hoe throwing pussy around","opinion"
"419316999995789313","rt worcest stat common chos maj sex assault smack","opinion"
