@relation TempFiles/temp1_labeled.csv
@attribute ID numeric
@attribute Tweet string
@attribute classlabel {lack_of_law,lack_of_services,society_belief,domestic_violence,third_party_account,news,self_belief,personal_account} 

@data
"418171178436419584","rt black wom talk rap whit men ppl seem think just hold pain slavery","society_belief"
"418172865955909632","kansa city hottest club horr rap jok _url_","self_belief"
"418264878504083456","keep thego stop rap tonight","personal_account"
"418265430294155264","omgg know bitch aint rap maggy walkingdead","third_party_account"
"418280276544872448","bad rap","self_belief"
"418281972101038080","fil complaint twit bm post photo incapacit bw threat rap now gonn contact buddy sourc","third_party_account"
"418282369775591424","keep thego stop rap tonight _url_","news"
"418288638032506880","don rap trav pleas ll cry","personal_account"
"418292917396983808","cavem first inv rap hot head bitch wak pregn fuck","third_party_account"
"418360631436124160","follow wil rap","personal_account"
"418368774878674944","lik phon rap","self_belief"
"418401222329393152","rt not job coddl educ young black men com viol wom wann teach","self_belief"
"418408717814874112","many wom believ must beat partn hetero homo rel alik","society_belief"
"418410013607346176","rt sex assault not sex desir viol control humy","self_belief"
"418421707347460097","sery sex attack edinburgh year old wom victim sery sex assault edin","news"
"418441771584987136","cha seung won son cha no ah acquit sex assault charg _url_","news"
"418443712390131712","cha seung won son cha no ah acquit sex assault charg back august pro gam cha _url_","news"
"418445075170201600","rt wom nee protect men urg rap men nee protect urg kil th","self_belief"
"418447257755996161","welcom diehardforgirl fierc book fierc wom men attack kindl _url_","news"
"418448440524173312","rap disgust crim","self_belief"
"418462372974854144","don agr fan giv play shit re least week can rap much money safc","society_belief"
"418463833032646656","pol investig ga man tweet going rap pass girl _url_","news"
"418467048012775424","real dud think wit lik rap ath on black guy pick girl flo drag","third_party_account"
"418470405356388352","rt rap dumb rap innoc person hoe fuck fre","self_belief"
"418479262362894336","whit chick com bang door no sho no pant talk can let black dud tryn rap","personal_account"
"418481220113035264","carl stop pleas eastend omg no rap","third_party_account"
"418513762555920385","_url_ avery import blog rap stop min skirt blam","news"
"418523898334806016","talk rap lead first point abstin key","self_belief"
"418524867651059712","cob co pd investig man tweet pict morn say going rap girl http","news"
"418527341602545664","rt yard penal unnecess rap _url_","third_party_account"
"418544729568325634","tl us rais aw eveslaw evesmark domesticviol osc childabus rap stalk abus not","personal_account"
"418547569887694848","pizz won ev cal nam che beat lie fak rap girl dat","self_belief"
"418553383474450432","peopl fuck idiot rap alway rap fault someon","self_belief"
"418555527954989057","baltim city pol nee help loc sex assault suspect _url_ _url_","news"
"418594266647392256","m rap","personal_account"
"418609269429125120","good see bal report imply viol men wom","third_party_account"
"418610224208285697","world com re dat year old rap whol level re dat child","third_party_account"
"418665850481434624","congress support aap delh saf mla not arrest fals wom not arrest rap http","news"
"418668953893105664","hi terr decid includ rap charg avoid jul assang today jok","self_belief"
"418678847169511424","rap can nev blam victim wis man build glass hous near ston quarry","self_belief"
"418712592144924672","not giv man accus rap airtim nor extrem unless real new sham bbc","news"
"418718114743074816","rt rap dumbest crim ev rap innoc person many hoe day","self_belief"
"419234985011597312","dud rap drunk fee cat food tel snack mix gon learn today","personal_account"
"419268988120887297","rt facebookproblemsnight lik respect justin bieb ign want sat rap","third_party_account"
"419274196229697536","sex assault milit control rul suicid out _url_ htt","news"
"419283441893396480","rt campaign s cit victim predomin found sex traffick und victim oft runaway troubl hom","news"
"419293908712316928","rt first girl attack movy jaw screaming real pain har brok hip drag","third_party_account"
"419300092575617025","mom got rap girl can rap wil lik man dream","third_party_account"
"419303226971009024","rt rap dumbest crim ev rap innoc person hoe throwing pussy around","self_belief"
"419316999995789313","rt worcest stat common chos maj sex assault smack","third_party_account"
"419333658843955200","rt worst thing said wom abort rap _url_","news"
"419349839046914048","wrong cthulhu tentac rap anyway wait backlash cthulhu tentac rap victim","third_party_account"
"419354893594263552","worst thing said wom abort rap _url_ short mem","news"
"419406201324318720","caus rap _url_","news"
"419447159566921728","kind rap isn crim correct rap us cur lesb","society_belief"
