@relation TempFiles/temp1.csv
@attribute ID numeric
@attribute Tweet string
@attribute classlabel {sexual_violence,physical_violence,harmful_practices,other} 

@data
"418171178436419584","rt black wom talk rap whit men ppl seem think just hold pain slavery",?
"418172865955909632","kansa city hottest club horr rap jok _url_",?
"418182216871841792","downplay situ re slut sham endors sex assault",?
"418211771011186689","rap est comendo viv",?
"418264878504083456","keep thego stop rap tonight",?
"418265430294155264","omgg know bitch aint rap maggy walkingdead",?
"418280276544872448","bad rap",?
"418281972101038080","fil complaint twit bm post photo incapacit bw threat rap now gonn contact buddy sourc",?
"418282369775591424","keep thego stop rap tonight _url_",?
"418288638032506880","don rap trav pleas ll cry",?
"418292917396983808","cavem first inv rap hot head bitch wak pregn fuck",?
"418310872658747392","hahahah kony wel mah rap ka sakn buka",?
"418318307901448193","end rap now",?
"418360631436124160","follow wil rap",?
"418368774878674944","lik phon rap",?
"418399064015663106","holdap na gwapo girl rap rap rap holdap anong rap holdap lang girl bakit masam bang mag suggest ang land",?
"418401222329393152","rt not job coddl educ young black men com viol wom wann teach",?
"418408717814874112","many wom believ must beat partn hetero homo rel alik",?
"418410013607346176","rt sex assault not sex desir viol control humy",?
"418421707347460097","sery sex attack edinburgh year old wom victim sery sex assault edin",?
"418441771584987136","cha seung won son cha no ah acquit sex assault charg _url_",?
"418443712390131712","cha seung won son cha no ah acquit sex assault charg back august pro gam cha _url_",?
"418445075170201600","rt wom nee protect men urg rap men nee protect urg kil th",?
"418447257755996161","welcom diehardforgirl fierc book fierc wom men attack kindl _url_",?
"418448440524173312","rap disgust crim",?
"418462372974854144","don agr fan giv play shit re least week can rap much money safc",?
"418463833032646656","pol investig ga man tweet going rap pass girl _url_",?
"418465017982623744","rt estoy pensando de hac algo del estilo si consigo lik en un dejo que rap pero no tengo pelot",?
"418467048012775424","real dud think wit lik rap ath on black guy pick girl flo drag",?
"418470405356388352","rt rap dumb rap innoc person hoe fuck fre",?
"418479262362894336","whit chick com bang door no sho no pant talk can let black dud tryn rap",?
"418481220113035264","carl stop pleas eastend omg no rap",?
"418513762555920385","_url_ avery import blog rap stop min skirt blam",?
"418513965941919744","mal duck rap fem duck help",?
"418519545490718721","devil rap dat fool dat brought world aint cheap bloody hoe smh wast tweet fuck ment freak",?
"418523898334806016","talk rap lead first point abstin key",?
"418524867651059712","cob co pd investig man tweet pict morn say going rap girl http",?
"418527341602545664","rt yard penal unnecess rap _url_",?
"418535150046048256","rap",?
"418542358104264704","girl mmmm show gonn beat pu baby _url_",?
"418544729568325634","tl us rais aw eveslaw evesmark domesticviol osc childabus rap stalk abus not",?
"418547569887694848","pizz won ev cal nam che beat lie fak rap girl dat",?
"418551894387064832","callmeoldfash think marry com childr",?
"418553383474450432","peopl fuck idiot rap alway rap fault someon",?
"418555527954989057","baltim city pol nee help loc sex assault suspect _url_ _url_",?
"418594266647392256","m rap",?
"418597143197536256","isn rap",?
"418606891359404032","dust assocy ug stak could rap profess dawdl tmetmo",?
"418609269429125120","good see bal report imply viol men wom",?
"418610224208285697","world com re dat year old rap whol level re dat child",?
"418614978443096065","geeekin retweet stalk ass girl",?
"418665850481434624","congress support aap delh saf mla not arrest fals wom not arrest rap http",?
"418668953893105664","hi terr decid includ rap charg avoid jul assang today jok",?
"418678847169511424","rap can nev blam victim wis man build glass hous near ston quarry",?
"418684100967284736","urg rap _url_",?
"418712592144924672","not giv man accus rap airtim nor extrem unless real new sham bbc",?
"418718114743074816","rt rap dumbest crim ev rap innoc person many hoe day",?
"418726398312738816","attn wom fastest way los weight burn fat stop fat produc _url_",?
"418726450242416642","attn wom fastest way los weight burn fat stop fat produc _url_",?
"419231838838996992","rap mee worldstagenirvan",?
"419234985011597312","dud rap drunk fee cat food tel snack mix gon learn today",?
"419236798762459137","rap whistl anoth sec wil fal tonight big osu mizz cottonbowl okst",?
"419242277618204672","nirvan rap solo acoust _url_",?
"419268988120887297","rt facebookproblemsnight lik respect justin bieb ign want sat rap",?
"419274196229697536","sex assault milit control rul suicid out _url_ htt",?
